Film_title,Release_year,Runtime,Director,Producer,Writer,Editor,Cinematography,Production Design,Composer,Sound,Genre,Cast,Personal_rating,Average_rating,Letterboxd URL
Barber's Tales,2013,120,Jun Robles Lana,"['Ferdinand Lapuz', 'Antonio Tuviera']",['Jun Robles Lana'],['Lawrence S. Ang'],['Carlo Mendoza'],['Chito Sumera'],['Ryan Cayabyab'],"['Mark Locsin', 'Warren Santiago']",['drama'],"['Eugene Domingo', 'Eddie Garcia', 'Iza Calzado', 'Gladys Reyes', 'Shamaine Buencamino', 'Daniel Fernando', 'Sue Prado', 'Nicco Manalo', 'Nora Aunor', 'Jess Mendoza', 'Nonie Buencamino', 'Katrina Halili', 'Soliman Cruz', 'Menggie Cobarrubias', 'Malou Crisologo', 'Lui Manansala', 'Hector Macaso', 'Lowell Conales', 'Kat Castillo', 'Jelson Bay', 'Gigi Columna', 'Joe Gruta', 'Chloe Carpio', 'Lao Rodriguez', 'Star Orjaliza', 'Nina Editha Guimalda', 'Kyla Margareth Eupina', 'Hyleinna Nicole Ampil', 'Caprice Cayetano']",nan,4.5,https://letterboxd.com//film/barbers-tales/
Moral,1982,138,Marilou Diaz-Abaya,nan,['Ricardo Lee'],"['Manolo R. Abaya', 'Marc Tarnate']",['Manolo R. Abaya'],['Fiel Zabat'],['George Canseco'],['Rolly Ruta'],['drama'],"['Lorna Tolentino', 'Gina Alajar', 'Sandy Andolong', 'Anna Marin', 'Juan Rodrigo', 'Michael Sandico', 'Ronald Bregendahl', 'Laurice Guillen', 'Manny Luna', 'Mia Gutierrez', 'Lito Pimentel', 'Odette Khan', 'Ernie Garcia', 'Dexter Doria', 'Claire de la Fuente']",nan,4.42,https://letterboxd.com//film/moral/
Himala,1982,124,Ishmael Bernal,['Bibsy N. Carballo'],['Ricardo Lee'],['Ike Jarlego Jr.'],['Sergio Lobo'],['Raquel Villavicencio'],['Winston Raval'],['Vic Macamay'],['drama'],"['Nora Aunor', 'Spanky Manikan', 'Vangie Labalan', 'Gigi Dueñas', 'Laura Centeno', 'Pen Medina', 'Ama Quiambao', 'Joel Lamangan', 'Cris Daluz', 'Veronica Palileo', 'Ray Ventura', 'Ben Almeda', 'Aura Mijares', 'Tony Angeles', 'Joe Gruta']",nan,4.27,https://letterboxd.com//film/himala/
This Is My Country,1984,105,Lino Brocka,nan,['Jose F. Lacaba'],['George Jarlego'],['Conrado Baltazar'],['Joey Luna'],['Jess Santiago'],"['Rudy Baldovino', 'Willy Islao']","['action', 'drama', 'crime']","['Phillip Salvador', 'Gina Alajar', 'Venchito Galvez', 'Ariosto Reyes Jr.', 'Bey Vito', 'Aida Carmona', 'Nomer Son', 'Paquito Diaz', 'Jess de la Paz', 'Lorli Villanueva', 'Raul Aragon', 'Rez Cortez', 'Fred Capulong', 'Jippi Reyes', 'Roger Moring', 'Fred Param', 'Khryss Adalia', 'Louella', 'Gamay Arkoncel', 'Peachy Atutubo', 'Rey Malte-Cruz', 'Adjay de la Cruz', 'Cesar Dimaculangan', 'Bituin Rada', 'Tony Rubio', 'Evelyn Vargas', 'Connie Chua', 'Mae Paner', 'Original Thunder Stuntmen', 'Allan Noble', 'Maharlika Stuntmen', 'Claudia Zobel', 'Carmi Martin', 'SOS Daredevils', 'Nanding Fernandez', 'Edna May Landicho', 'Bing Magtoto', 'Nanette Venturanza', 'Mona Lisa', 'Lucita Soriano', 'Lucy Quinto', 'Greg Sta. Inez', 'Joe Taruc']",nan,4.23,https://letterboxd.com//film/this-is-my-country/
Manila in the Claws of Light,1975,127,Lino Brocka,"['Mike de Leon', 'Severino Manotok Jr.']",['Clodualdo del Mundo Jr.'],"['Ike Jarlego Jr.', 'Edgardo Jarlego']","['Mike de Leon', 'Clodualdo del Mundo Jr.']",nan,['Max Jocson'],"['Ramon Reyes', 'Luis S. Reyes']","['drama', 'mystery']","['Bembol Roco', 'Lou Salvador Jr.', 'Tommy Abuel', 'Lily Gamboa Mendoza', 'Joonee Gamboa', 'Pio De Castro III', 'Joe Jardi', 'Spanky Manikan', 'Danilo Posadas', 'Pancho Pelagio', 'Bobby Roldan', ""Jerry O'Hara"", 'Rudy Hermano', 'Rikki Jimenez', 'Chiqui Xerxes-Burgos', 'Tommy Yap', 'Juling Bagabaldo', 'Joe Gruta', 'Nina Lorenzo', 'Mely Mallari', 'Fred Capulong', 'Orlando Nadres', 'Estrella Kuenzler', ""Edwin O'Hara"", 'Lorli Villanueva', ""Mario O'Hara"", 'Sibyl Santiago', 'Edipolo Erosido', 'Purita Yap', 'Josephine Gutierrez', 'Gina Zegui', 'Ronnie Magalong', 'Anna Marie Nicolas', 'Victor Diendo', 'Abelardo Reyes', 'Julie de Guzman', 'Brenda Fajardo', 'Cita Javellana', 'Ellen Cacho', 'Sabrina', 'Pitay', 'Veronica', 'Jun Macapinlac', 'Ricardo de Guzman', 'Socrates B. Jose', 'Greg Llenado', 'Arturo Soquerata', 'Jojo Abella', 'Hilda Koronel']",nan,4.19,https://letterboxd.com//film/manila-in-the-claws-of-light/
Cleaners,2019,78,Glenn Barit,"['Manet A. Dayrit', 'Noni Abao', 'Tiara Orig', 'Eduardo Lejano, Jr.']",['Glenn Barit'],"['Che Tagyamon', 'Noah Loyola']",['Steven Evangelio'],['Alvin Francisco'],['Glenn Barit'],"['Daryl Libongco', 'Sam Valenia', 'John Michael Perez']",['comedy'],"['Ianna Taguinod', 'Leomar Baloran', 'Julian Narag', 'Carlo Mejia', 'Gianne Rivera', 'Charise Mabbonag', 'Allan Gannaban', 'Andrei Marquez']",nan,4.18,https://letterboxd.com//film/cleaners-2019/
Evolution of a Filipino Family,2004,647,Lav Diaz,"['Lav Diaz', 'Eric Tanedo']",['Lav Diaz'],['Lav Diaz'],"['Paul Tañedo', 'Richard C. De Guzman']",['Patty Eustaquio'],nan,nan,['drama'],"['Pen Medina', 'Ronnie Lazaro', 'Angel Aquino', 'Joel Torre', 'Gino Dormiendo', 'Elryan de Vera', 'Angie Ferro', 'Marife Necesito', 'Lui Manansala', 'Banaue Miclat', 'Sigrid Andrea Bernardo', 'Ray Ventura', 'Dido De La Paz', 'Roeder Camanag', 'Lorelie Futol', 'Erwin Gonzales', 'Mario Magallona', 'Quark Henares', 'Joe Gruta', 'Fonz Deza', 'Divina Cavestany', 'Noel Miralles', 'Noel Sto. Domingo', 'Kenneth Tiamzon', 'Raye Baquirin', 'Mark Dionisio', 'Glen Parian', 'Epifanio Enriquez', 'Patty Eustaquio', 'Marivic Abalos', 'Micole Alcantara', 'Hector Macaso', 'Leo Fonseca', 'Rodeliza Abella-Altamonte', 'Joy Domingo', 'Sylvia Palazo', 'Benjamin Baylon', 'Norvi Morauda', 'Maribel Baylon', 'Kristina Lesley Cabuyao', 'Tony Angeles', 'Ester Chavez', 'Salvador Royales', 'Eloisa Cruz Canlas', 'Betty Roa', 'Susan Robles', 'Rosanna Villegas', 'Phil Cruz', 'Bobby Cruz', 'Jun Legazpi', 'Roxlee', 'Lourd De Veyra', 'Dante Perez', 'Johnny Magdasoc', 'Michael Ranola', 'George Vibar', 'Panong Cuadra', 'Ernie Enrique', 'Nani Romano', 'Doi Rosete', 'Poi Beltran', 'Ferdinand Marcos, Sr.', 'Imelda Marcos', 'Juan Ponce Enrile', 'Corazon Aquino', 'Fidel Ramos', 'Charles Young']",nan,4.17,https://letterboxd.com//film/evolution-of-a-filipino-family/
Kisapmata,1981,98,Mike de Leon,"['Charo Santos-Concio', 'Simon C. Ongpin']","['Mike de Leon', 'Clodualdo del Mundo Jr.', 'Raquel Villavicencio']",['Jess Navarro'],['Rody Lacap'],['Cesar Hernando'],['Lorrie Ilustre'],['Ramon Reyes'],"['crime', 'thriller', 'drama']","['Charo Santos-Concio', 'Jay Ilagan', 'Vic Silayan', 'Charito Solis', 'Ruben Rustia', 'Juan Rodrigo', 'Aida Carmona', 'Cora Alforja', 'Dindo Angeles', 'Mely Mallari', ""Edwin O'Hara""]",nan,4.16,https://letterboxd.com//film/kisapmata/
"Gold, Silver, Death",1982,194,Peque Gallaga,['Madeleine Gallaga'],"['Jose Javier Reyes', 'Mario Taguiwalo']",['Jess Navarro'],['Rody Lacap'],"['Rodell Cruz', 'Don Escudero']",['Toto Gentica'],['Ramon Reyes'],"['war', 'drama']","['Joel Torre', 'Cherie Gil', 'Manny Ojeda', 'Liza Lorena', 'Sandy Andolong', 'Mitch Valdez', 'Lorli Villanueva', 'Ronnie Lazaro', 'Abbo De La Cruz', 'Mely Mallari', 'Mary Walter', 'Agustin Gatia', 'Robert Antonio', 'Benjamin Delina', 'Carmelo Sta. Maria', 'Wilbert Cardeñas', 'Noel Soriano', 'Kuh Ledesma', 'Gigi Dueñas', 'Fernanda de los Reyes', 'Jaime Fabregas']",nan,4.16,https://letterboxd.com//film/gold-silver-death/
Fight for Us,1989,94,Lino Brocka,nan,['Jose F. Lacaba'],"['George Jarlego', 'Sabine Mamou', 'Bob Wade']",['Rody Lacap'],"['Benjie De Guzman', 'Ed Cruz', 'Edwin Hipolito', 'Buboy Tagayon', 'Dodoy Tayao']",nan,"['Honesto Canares', 'Alfredo Sabile']","['drama', 'action', 'crime']","['Phillip Salvador', 'Dina Bonnevie', 'Gina Alajar', 'Bembol Roco', 'Ginnie Sobrino', 'Abbo De La Cruz', 'Pen Medina', 'Joel Lamangan', 'Gerard Bernschein', 'Ernie Zarate', 'Jess Ramos', 'Obby Castañeda', 'Pocholo Montes', 'Bon Vibar', 'Raquel Villavicencio']",nan,4.13,https://letterboxd.com//film/fight-for-us/
